vegetable_name,season,year,month,supply_level,demand_level,location,market_type,rainfall_index,quality_grade,holiday_season_flag,Price
Brinjal,Winter,2024,5,351,635,Mumbai,Retail,92.46095543,B,0,56.54
Onion,Summer,2024,9,589,270,Mumbai,Wholesale,16.71922203,B,0,31.45
Potato,Rainy,2024,5,649,943,Delhi,Wholesale,13.99541386,A,0,43.12
Potato,Rainy,2022,8,878,497,Delhi,Wholesale,12.10340909,C,0,22.61
Brinjal,Rainy,2023,10,214,515,Kolkata,Wholesale,3.390894089,B,1,62.42
Onion,Summer,2021,2,511,510,Delhi,Wholesale,24.16263336,C,0,30.6
Tomato,Summer,2023,10,737,565,Hyderabad,Wholesale,98.98780605,C,1,33.09
Onion,Summer,2023,9,168,343,Delhi,Wholesale,81.80765734,C,0,36.54
Carrot,Rainy,2021,10,297,481,Chennai,Retail,42.60784146,B,1,65.82
Carrot,Rainy,2023,5,689,480,Mumbai,Wholesale,75.07691715,B,0,45.26
Tomato,Rainy,2023,5,213,327,Kolkata,Retail,76.16779816,A,0,62.13
Brinjal,Rainy,2021,8,225,328,Delhi,Wholesale,64.26940365,A,0,59.36
Tomato,Rainy,2022,1,480,924,Mumbai,Retail,40.09873138,C,1,49.88
Brinjal,Rainy,2024,7,424,456,Hyderabad,Retail,71.04134157,B,0,50.81
Tomato,Winter,2024,8,552,944,Mumbai,Retail,22.91752811,A,0,66.81
Potato,Summer,2023,1,439,650,Mumbai,Retail,13.04314851,A,1,57.22
Carrot,Summer,2023,7,402,800,Mumbai,Wholesale,11.57444247,A,0,74.25
Potato,Rainy,2024,8,374,361,Delhi,Wholesale,50.09897018,A,0,35.83
Brinjal,Summer,2022,11,716,770,Bangalore,Retail,47.26059509,C,1,47.41
Brinjal,Winter,2024,3,728,695,Hyderabad,Retail,47.26193395,C,0,43.09
Tomato,Summer,2022,8,649,174,Hyderabad,Retail,93.16014566,A,0,47.1
Tomato,Winter,2024,4,351,478,Chennai,Wholesale,28.06790992,B,0,43.1
Tomato,Winter,2024,12,708,662,Chennai,Wholesale,36.88474939,C,1,36.49
Potato,Winter,2021,10,726,230,Mumbai,Wholesale,3.934760645,C,1,24.39
Tomato,Rainy,2024,11,569,679,Mumbai,Retail,24.23899474,B,1,52.75
Carrot,Rainy,2021,9,766,516,Delhi,Retail,89.0196498,A,0,64.37
Tomato,Winter,2022,10,185,921,Bangalore,Retail,61.63289341,B,1,85.1
Onion,Winter,2021,8,926,583,Bangalore,Retail,35.65441988,A,0,49.04
Brinjal,Winter,2023,10,170,156,Kolkata,Retail,87.68929507,C,1,44.8
Onion,Winter,2024,6,414,846,Mumbai,Retail,63.95759709,C,0,43.17
Potato,Rainy,2022,9,448,897,Kolkata,Wholesale,72.59440773,A,0,46.35
Potato,Rainy,2023,4,719,352,Bangalore,Retail,3.288549651,C,0,28.28
Tomato,Rainy,2023,7,815,710,Mumbai,Retail,78.81528009,A,0,54.6
Potato,Summer,2022,6,635,890,Chennai,Wholesale,62.15313797,C,0,27.29
Tomato,Winter,2021,1,811,568,Kolkata,Retail,81.61753837,C,1,39.13
Onion,Winter,2021,2,541,577,Hyderabad,Retail,94.73760323,B,0,40.79
Tomato,Winter,2021,11,364,267,Kolkata,Retail,90.74680695,B,1,45.95
Tomato,Winter,2023,7,699,482,Hyderabad,Wholesale,52.06234598,C,0,30.7
Brinjal,Rainy,2024,6,822,772,Hyderabad,Wholesale,86.35753216,C,0,35.69
Brinjal,Rainy,2024,10,475,421,Bangalore,Retail,10.8263319,B,1,55.53
Brinjal,Rainy,2024,10,706,394,Mumbai,Wholesale,62.18006168,B,1,43.53
Carrot,Winter,2022,5,757,802,Chennai,Wholesale,49.05850372,A,0,61.95
Onion,Rainy,2024,2,570,335,Delhi,Retail,31.22945298,B,0,39.03
Potato,Rainy,2024,3,180,856,Chennai,Wholesale,12.1562175,B,0,64.08
Tomato,Summer,2023,6,281,594,Bangalore,Wholesale,40.48667742,A,0,61.67
Brinjal,Winter,2024,4,675,752,Delhi,Retail,18.48981359,A,0,66.59
Tomato,Summer,2023,10,359,216,Chennai,Wholesale,19.88653527,A,1,50.76
Brinjal,Summer,2021,10,286,847,Hyderabad,Wholesale,16.40891927,C,1,56.87
Potato,Summer,2024,3,396,863,Kolkata,Wholesale,79.31023017,B,0,38.39
Onion,Summer,2024,11,941,344,Bangalore,Retail,61.46009324,B,1,39.83
Potato,Summer,2024,6,655,439,Mumbai,Wholesale,49.79333327,A,0,32.54
Potato,Rainy,2024,6,849,568,Mumbai,Wholesale,78.87742948,A,0,31.07
Potato,Summer,2022,12,642,617,Kolkata,Wholesale,94.53258256,A,1,38.57
Onion,Winter,2024,1,713,680,Delhi,Wholesale,43.20968882,C,1,33.02
Potato,Rainy,2023,12,600,939,Bangalore,Retail,20.96008606,A,1,57.78
Potato,Summer,2023,10,453,908,Mumbai,Wholesale,41.76513177,C,1,35.98
Brinjal,Winter,2023,12,490,797,Delhi,Retail,66.26917417,A,1,74.95
Potato,Winter,2021,7,268,660,Chennai,Retail,15.22500124,C,0,42.9
Onion,Summer,2021,10,295,731,Hyderabad,Retail,69.24599172,A,1,73.07
Potato,Summer,2022,10,890,363,Mumbai,Retail,22.72420056,A,1,44.7
Onion,Winter,2023,3,537,728,Kolkata,Wholesale,4.893217088,B,0,39.98
Onion,Winter,2024,5,702,328,Chennai,Wholesale,58.09350058,B,0,29.88
Onion,Rainy,2022,1,474,583,Chennai,Retail,2.474740672,B,1,49.95
Carrot,Winter,2022,1,671,153,Delhi,Wholesale,96.67655973,C,1,37.55
Potato,Summer,2022,12,806,722,Bangalore,Retail,16.12616769,A,1,50.51
Carrot,Rainy,2022,2,249,192,Chennai,Retail,85.30766611,C,0,44.62
Carrot,Rainy,2023,3,227,573,Bangalore,Retail,77.03676702,B,0,68.54
Potato,Summer,2022,9,312,898,Chennai,Wholesale,30.49400265,C,0,39.61
Potato,Summer,2023,1,773,588,Mumbai,Wholesale,13.09849965,B,1,32.31
Carrot,Winter,2022,12,436,692,Hyderabad,Retail,95.84799041,C,1,53.91
Tomato,Summer,2023,1,406,257,Delhi,Retail,37.96127193,B,1,47.16
Brinjal,Rainy,2022,3,817,680,Chennai,Wholesale,38.13526192,A,0,53.7
Potato,Rainy,2022,10,501,603,Hyderabad,Retail,14.40240507,C,1,36.75
Onion,Winter,2024,9,543,344,Mumbai,Wholesale,71.29589111,C,0,26.21
Onion,Winter,2023,2,908,715,Hyderabad,Retail,17.80552179,C,0,35.16
Brinjal,Summer,2023,6,576,332,Hyderabad,Wholesale,13.05618843,C,0,35.41
Potato,Summer,2021,1,919,211,Kolkata,Wholesale,10.23521643,C,1,23.51
Brinjal,Summer,2023,1,368,710,Bangalore,Wholesale,44.52494885,B,1,56.54
Brinjal,Summer,2022,2,689,543,Delhi,Wholesale,52.43018941,A,0,52.48
Brinjal,Summer,2022,11,214,722,Delhi,Retail,66.20660649,A,1,94.47
Potato,Winter,2024,8,521,902,Bangalore,Retail,8.778387681,A,0,55.25
Potato,Summer,2023,12,329,397,Kolkata,Retail,34.11796447,B,1,42.46
Tomato,Summer,2021,4,160,758,Delhi,Retail,46.4239963,B,0,79.52
Brinjal,Summer,2022,11,448,889,Delhi,Retail,96.73173405,B,1,61.95
Potato,Rainy,2022,1,704,859,Bangalore,Retail,90.11417952,A,1,50.45
Tomato,Summer,2024,8,840,687,Kolkata,Retail,76.06750817,C,0,36.81
Carrot,Summer,2023,4,678,246,Mumbai,Retail,73.37994855,C,0,41.93
Carrot,Rainy,2023,7,235,802,Kolkata,Retail,12.52256797,C,0,67.22
Potato,Rainy,2023,7,824,824,Chennai,Retail,92.40075052,A,0,42.87
Carrot,Winter,2022,11,412,481,Delhi,Wholesale,8.960861886,B,1,56.12
Potato,Winter,2023,12,156,460,Bangalore,Wholesale,52.35591704,C,1,42.73
Brinjal,Summer,2023,11,941,547,Chennai,Retail,7.843851171,C,1,44.98
Brinjal,Rainy,2024,11,191,932,Hyderabad,Retail,33.17964498,C,1,76.81
Tomato,Rainy,2023,3,159,233,Kolkata,Retail,71.36735812,B,0,49.25
Brinjal,Summer,2022,3,652,366,Chennai,Retail,99.18737284,C,0,38.32
Potato,Winter,2021,8,511,626,Chennai,Wholesale,83.47923069,A,0,37.08
Onion,Winter,2023,3,727,678,Bangalore,Wholesale,18.84164452,C,0,30.28
Carrot,Summer,2023,6,739,451,Hyderabad,Retail,83.03323293,C,0,43.49
Brinjal,Rainy,2024,12,849,629,Kolkata,Wholesale,99.06138856,A,1,54.62
