vegetable_name,season,year,month,supply_level,demand_level,location,market_type,rainfall_index,quality_grade,holiday_season_flag,Price
Brinjal,Summer,2023,11,379,745,Delhi,Retail,94.69206514,A,1,77.32
Onion,Winter,2023,5,687,850,Delhi,Wholesale,35.74481876,C,0,32.04
Cauliflower,Summer,2021,10,283,216,Kolkata,Wholesale,11.79415384,A,1,50.47
Potato,Summer,2021,3,218,778,Chennai,Wholesale,17.63825375,B,0,53.27
Potato,Summer,2024,10,457,354,Mumbai,Wholesale,78.64173141,B,1,29.81
Brinjal,Winter,2023,4,781,478,Bangalore,Retail,48.08532224,B,0,47.58
Onion,Winter,2022,1,828,749,Hyderabad,Retail,10.93016402,A,1,58.37
Cauliflower,Rainy,2022,12,715,255,Bangalore,Wholesale,76.32808741,C,1,29.03
Tomato,Winter,2024,12,667,826,Mumbai,Retail,44.81105044,A,1,65.42
Onion,Rainy,2023,2,529,558,Hyderabad,Wholesale,76.72095741,A,0,43.01
Cauliflower,Summer,2021,10,731,294,Kolkata,Wholesale,49.72082354,B,1,35.63
Carrot,Summer,2022,3,194,877,Kolkata,Retail,2.710601331,B,0,89.37
Carrot,Winter,2021,5,332,325,Chennai,Wholesale,97.87979797,A,0,58.59
Tomato,Winter,2023,2,616,407,Mumbai,Retail,37.92800592,C,0,36.91
Cauliflower,Summer,2022,8,328,662,Chennai,Retail,52.84186888,A,0,66.24
Brinjal,Winter,2021,11,928,853,Delhi,Retail,97.80593509,A,1,65.44
Tomato,Rainy,2024,10,646,552,Kolkata,Wholesale,47.4938035,B,1,41.78
Brinjal,Rainy,2024,2,777,850,Mumbai,Wholesale,73.64002759,B,0,43.89
Tomato,Rainy,2022,5,286,412,Kolkata,Retail,58.6863995,C,0,42.14
Potato,Winter,2024,2,671,314,Mumbai,Retail,36.15771949,B,0,31.76
Carrot,Rainy,2021,12,506,227,Delhi,Retail,5.733235196,A,1,71
Cauliflower,Summer,2022,8,814,917,Mumbai,Retail,17.15686452,B,0,46.44
Potato,Winter,2021,3,430,768,Bangalore,Wholesale,2.378519301,B,0,37.94
Brinjal,Winter,2023,1,752,746,Kolkata,Retail,74.04741729,C,1,45.86
Brinjal,Rainy,2021,7,733,553,Kolkata,Retail,15.42826837,C,0,42.64
Cabbage,Winter,2024,12,850,430,Mumbai,Retail,26.72755772,B,1,38.48
Tomato,Summer,2021,7,738,574,Kolkata,Retail,24.90088208,A,0,56.24
Tomato,Summer,2024,1,225,834,Hyderabad,Wholesale,40.826679,A,1,84.47
Cabbage,Rainy,2024,2,274,510,Bangalore,Wholesale,10.92714862,A,0,50.32
Tomato,Rainy,2024,3,523,396,Chennai,Wholesale,64.78035989,B,0,36.21
Potato,Rainy,2021,8,509,855,Delhi,Retail,38.87361861,B,0,42.53
Cabbage,Rainy,2023,8,341,404,Bangalore,Retail,23.23169899,A,0,50.88
Tomato,Winter,2022,5,508,313,Hyderabad,Wholesale,33.99630829,A,0,45.22
Carrot,Summer,2024,1,797,812,Bangalore,Retail,81.50175568,B,1,58.9
Tomato,Summer,2024,12,157,209,Chennai,Retail,61.7263093,C,1,44.57
Onion,Winter,2024,10,884,849,Delhi,Retail,49.88789195,C,1,38.79
Cauliflower,Rainy,2021,7,318,721,Bangalore,Wholesale,23.37496604,B,0,49.41
Cauliflower,Summer,2022,4,893,486,Delhi,Wholesale,83.87424433,A,0,39.42
Brinjal,Summer,2021,5,225,267,Kolkata,Wholesale,5.775284111,B,0,47.4
Cauliflower,Summer,2024,1,779,763,Hyderabad,Retail,8.63213398,C,1,42.04
Onion,Rainy,2022,6,312,410,Delhi,Retail,18.13955984,B,0,46.06
Potato,Winter,2022,5,648,902,Hyderabad,Wholesale,25.28919323,C,0,28.47
Potato,Rainy,2021,11,851,326,Hyderabad,Wholesale,45.28454057,C,1,23.49
Tomato,Winter,2022,11,895,518,Delhi,Retail,62.16926628,B,1,45.72
Potato,Winter,2022,2,202,305,Chennai,Wholesale,27.97958417,C,0,29.24
Tomato,Rainy,2022,3,199,659,Delhi,Retail,32.34343906,B,0,67.36
Onion,Rainy,2024,8,769,557,Delhi,Retail,6.550137569,A,0,51.56
